,Query,idx,expected_output,actual_output,similarity_score,inference_time,input_token,output_token
10,"Search for objects with the query ""customer-xyz,"" retrieve work items related to those objects, and create actionable tasks from the summary.",46,"[{'tool_name': 'search_object_by_name', 'arguments': [{'argument_name': 'query', 'argument_value': 'customer-xyz'}]}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'issue_rev_orgs', 'argument_value': ['$$PREV[0]']}, {'argument_name': 'type', 'argument_value': ['issue']}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'works_list'}]}, {'tool_name': 'create_actionable_tasks_from_text', 'arguments': [{'argument_name': 'text', 'argument_value': 'summarize_objects'}]}]","[{'tool_name': 'search_object_by_name', 'arguments': [{'argument_name': 'query', 'argument_value': 'customer-xyz'}]}, {'tool_name': 'get_similar_work_items', 'arguments': [{'argument_name': 'work_id', 'argument_value': 'search_object_by_name'}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'search_object_by_name'}]}, {'tool_name': 'create_actionable_tasks_from_text', 'arguments': [{'argument_name': 'text', 'argument_value': 'search_object_by_name'}]}]",1,67.65724515914917,5526.375,206.0
11,"Search for objects related to the customer ""VIPCustomer,"" retrieve work items owned by ""DEVU-789"" for those customers, and generate a summary of those work items.",8,"[{'tool_name': 'search_object_by_name', 'arguments': [{'argument_name': 'query', 'argument_value': 'VIPCustomer'}]}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'owned_by', 'argument_value': ['DEVU-789']}, {'argument_name': 'issue.rev_orgs', 'argument_value': ['$$PREV[0]']}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'works_list'}]}]","[{'tool_name': 'works_list', 'arguments': [{'argument_name': 'owned_by', 'argument_value': 'DEVU-789'}, {'argument_name': 'issue_rev_orgs', 'argument_value': 'VIPCustomer'}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'works_list'}]}]",0,32.04060673713684,4398.5,127.125
12,"Search for objects related to the part numbers ""PART-001"" and ""PART-002,"" prioritize them based on severity, and create actionable tasks from the information. Finally, add the created tasks to the current sprint.",20,"[{'tool_name': 'search_object_by_name', 'arguments': [{'argument_name': 'query', 'argument_value': ['PART-001', 'PART-002']}]}, {'tool_name': 'prioritize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'search_object_by_name'}]}, {'tool_name': 'create_actionable_tasks_from_text', 'arguments': [{'argument_name': 'text', 'argument_value': 'prioritize_objects'}]}, {'tool_name': 'get_sprint_id', 'arguments': []}, {'tool_name': 'add_work_items_to_sprint', 'arguments': [{'argument_name': 'work_ids', 'argument_value': 'create_actionable_tasks_from_text'}, {'argument_name': 'sprint_id', 'argument_value': 'get_sprint_id'}]}]","[{'tool_name': 'search_object_by_name', 'arguments': [{'argument_name': 'query', 'argument_value': 'PART-001'}]}, {'tool_name': 'search_object_by_name', 'arguments': [{'argument_name': 'query', 'argument_value': 'PART-002'}]}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'applies_to_part', 'argument_value': '[""PART-001"", ""PART-002""]'}]}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'ticket_severity', 'argument_value': '[""blocker"", ""high"", ""low"", ""medium""]'}]}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'add_to_sprint', 'argument_value': 'true'}]}]",0,55.37846493721008,5709.25,280.75
13,"Search for objects with the query ""important-customer,"" retrieve work items related to those objects with high severity, summarize the objects, prioritize them, get the ID of the current sprint, and add the prioritized items to the sprint.",35,"[{'tool_name': 'search_object_by_name', 'arguments': [{'argument_name': 'query', 'argument_value': 'important-customer'}]}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'ticket_rev_org', 'argument_value': ['$$PREV[0]']}, {'argument_name': 'ticket_severity', 'argument_value': ['high']}, {'argument_name': 'type', 'argument_value': ['ticket']}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'works_list'}]}, {'tool_name': 'prioritize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'summarize_objects'}]}, {'tool_name': 'get_sprint_id', 'arguments': []}, {'tool_name': 'add_work_items_to_sprint', 'arguments': [{'argument_name': 'work_ids', 'argument_value': 'prioritize_objects'}, {'argument_name': 'sprint_id', 'argument_value': 'get_sprint_id'}]}]","[{'tool_name': 'search_object_by_name', 'arguments': [{'argument_name': 'query', 'argument_value': 'important-customer'}]}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'issue_rev_orgs', 'argument_value': 'REV-123'}, {'argument_name': 'ticket_severity', 'argument_value': 'high'}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'search_object_by_name'}]}, {'tool_name': 'prioritize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'search_object_by_name'}]}, {'tool_name': 'get_sprint_id', 'arguments': [{'argument_name': '', 'argument_value': ''}]}, {'tool_name': 'add_work_items_to_sprint', 'arguments': [{'argument_name': 'work_items', 'argument_value': 'search_object_by_name'}, {'argument_name': 'sprint_id', 'argument_value': 'works_list'}]}]",1,113.32166695594788,9034.25,433.125
14,"Find work items created by users DEVU-123 and DEVU-456, get similar work items to ""task-789,"" summarize those objects, create actionable tasks from the summary, find the current sprint ID, and add the created tasks to the sprint.",34,"[{'tool_name': 'works_list', 'arguments': [{'argument_name': 'created_by', 'argument_value': ['DEVU-123', 'DEVU-456']}]}, {'tool_name': 'get_similar_work_items', 'arguments': [{'argument_name': 'work_id', 'argument_value': 'task-789'}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'get_similar_work_items'}]}, {'tool_name': 'create_actionable_tasks_from_text', 'arguments': [{'argument_name': 'text', 'argument_value': 'summarize_objects'}]}, {'tool_name': 'get_sprint_id', 'arguments': []}, {'tool_name': 'add_work_items_to_sprint', 'arguments': [{'argument_name': 'work_ids', 'argument_value': 'create_actionable_tasks_from_text'}, {'argument_name': 'sprint_id', 'argument_value': 'get_sprint_id'}]}]","[{'tool_name': 'works_list', 'arguments': [{'argument_name': 'created_by', 'argument_value': '[""DEVU-123"", ""DEVU-456""]'}]}, {'tool_name': 'get_similar_work_items', 'arguments': [{'argument_name': 'work_id', 'argument_value': 'task-789'}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'works_list'}]}, {'tool_name': 'create_actionable_tasks_from_text', 'arguments': [{'argument_name': 'text', 'argument_value': 'works_list'}]}, {'tool_name': 'get_sprint_id', 'arguments': [{'argument_name': '', 'argument_value': ''}]}, {'tool_name': 'add_work_items_to_sprint', 'arguments': [{'argument_name': 'work_items', 'argument_value': 'works_list'}]}]",1,129.35438871383667,9913.875,362.375
15,"Search for objects with the query ""important-part,"" retrieve work items related to those objects, and summarize the objects.",43,"[{'tool_name': 'search_object_by_name', 'arguments': [{'argument_name': 'query', 'argument_value': 'important-part'}]}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'issue.rev_orgs', 'argument_value': ['$$PREV[0]']}, {'argument_name': 'type', 'argument_value': ['issue']}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'works_list'}]}]","[{'tool_name': 'search_object_by_name', 'arguments': [{'argument_name': 'query', 'argument_value': 'important-part'}]}, {'tool_name': 'get_similar_work_items', 'arguments': [{'argument_name': 'work_id', 'argument_value': 'search_object_by_name'}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'search_object_by_name'}]}]",1,54.49248027801514,4971.75,178.875
16,"Find work items created by users DEVU-123 and DEVU-456, get similar work items to ""task-789,"" summarize those objects, create actionable tasks from the summary, prioritize them, and add them to the current sprint.",last,"[{'tool_name': 'works_list', 'arguments': [{'argument_name': 'created_by', 'argument_value': ['DEVU-123', 'DEVU-456']}]}, {'tool_name': 'get_similar_work_items', 'arguments': [{'argument_name': 'work_id', 'argument_value': 'task-789'}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'get_similar_work_items'}]}, {'tool_name': 'create_actionable_tasks_from_text', 'arguments': [{'argument_name': 'text', 'argument_value': 'summarize_objects'}]}, {'tool_name': 'prioritize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'create_actionable_tasks_from_text'}]}, {'tool_name': 'get_sprint_id', 'arguments': []}, {'tool_name': 'add_work_items_to_sprint', 'arguments': [{'argument_name': 'work_ids', 'argument_value': 'prioritize_objects'}, {'argument_name': 'sprint_id', 'argument_value': 'get_sprint_id'}]}]","[{'tool_name': 'works_list', 'arguments': [{'argument_name': 'created_by', 'argument_value': '[""DEVU-123"", ""DEVU-456""]'}]}, {'tool_name': 'get_similar_work_items', 'arguments': [{'argument_name': 'work_id', 'argument_value': 'task-789'}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'works_list'}]}, {'tool_name': 'create_actionable_tasks_from_text', 'arguments': [{'argument_name': 'text', 'argument_value': 'works_list'}]}, {'tool_name': 'prioritize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'works_list'}]}, {'tool_name': 'add_work_items_to_sprint', 'arguments': [{'argument_name': 'work_items', 'argument_value': 'works_list'}]}]",1,105.72736120223999,8705.125,345.5
17,"List all work items with the priority ""p2"" created by user DEVU-789.",22,"[{'tool_name': 'works_list', 'arguments': [{'argument_name': 'issue_priority', 'argument_value': ['p2']}, {'argument_name': 'created_by', 'argument_value': ['DEVU-789']}]}]","[{'tool_name': 'works_list', 'arguments': [{'argument_name': 'issue_priority', 'argument_value': 'p2'}]}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'created_by', 'argument_value': 'DEVU-789'}]}]",0,19.196614980697632,2044.375,72.0
18,"Search for objects related to the part ""FEAT-789,"" retrieve work items owned by the user ""DEVU-456,"" and prioritize them.",3,"[{'tool_name': 'search_object_by_name', 'arguments': [{'argument_name': 'query', 'argument_value': 'FEAT-789'}]}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'owned_by', 'argument_value': ['DEVU-456']}, {'argument_name': 'applies_to_part', 'argument_value': ['$$PREV[0]']}]}, {'tool_name': 'prioritize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'works_list'}]}]","[{'tool_name': 'search_object_by_name', 'arguments': [{'argument_name': 'query', 'argument_value': 'FEAT-789'}]}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'owned_by', 'argument_value': 'DEVU-456'}]}, {'tool_name': 'prioritize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'search_object_by_name'}]}]",1,28.309965133666992,3853.25,131.25
19,"Identify the current user and then create actionable tasks from MEETING_SUMMARY, adding them to the current sprint.",28,{},"[{'tool_name': 'who_am_i', 'arguments': [{'argument_name': '', 'argument_value': ''}]}, {'tool_name': 'create_actionable_tasks_from_text', 'arguments': [{'argument_name': 'text', 'argument_value': 'MEETING_SUMMARY'}]}, {'tool_name': 'add_work_items_to_sprint', 'arguments': [{'argument_name': 'work_ids', 'argument_value': 'who_am_i'}]}, {'tool_name': 'add_work_items_to_sprint', 'arguments': [{'argument_name': 'sprint_id', 'argument_value': 'create_actionable_tasks_from_text'}]}]",0,51.90497350692749,4506.0,177.625
